City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Chennai,2015-10-30,119.4,81.3,125.3,6.3,148.0,22.2,6.93,99.4,20.0,298.0,Poor
Kolkata,2015-10-30,421.2,84.3,33.4,113.4,18.0,18.1,7.03,51.4,133.0,162.8,Moderate
Bangalore,2015-10-30,361.8,184.8,137.2,15.5,177.3,11.1,7.37,87.4,153.1,178.0,Moderate
Delhi,2015-10-31,302.1,231.2,88.4,5.6,83.2,44.0,0.44,12.6,73.5,452.1,Severe
Mumbai,2015-10-31,139.4,220.5,100.4,90.2,191.0,12.9,0.42,63.3,176.4,315.1,Very Poor
Chennai,2015-10-31,266.9,388.5,97.0,64.8,235.1,21.0,9.6,86.6,40.9,416.9,Severe
Kolkata,2015-10-31,290.9,427.4,141.3,97.9,173.5,43.6,9.39,51.2,113.9,440.9,Severe
Bangalore,2015-10-31,398.7,70.4,186.7,74.6,40.2,31.3,9.27,4.6,28.6,190.9,Moderate
Delhi,2015-11-01,294.9,348.1,192.5,111.1,198.8,22.6,3.77,48.7,7.6,444.9,Severe
Mumbai,2015-11-01,242.9,520.6,63.3,111.4,30.9,17.9,7.19,5.4,58.6,394.6,Very Poor
Chennai,2015-11-01,153.0,278.0,164.7,13.8,104.6,29.8,2.14,59.7,149.6,325.6,Very Poor
Kolkata,2015-11-01,94.0,142.9,155.2,146.5,230.6,11.9,9.98,20.3,98.7,211.2,Poor
Bangalore,2015-11-01,85.0,153.2,117.3,78.8,67.3,30.4,6.1,19.1,131.6,182.9,Moderate
Delhi,2015-11-02,323.7,96.9,35.2,38.6,34.6,39.5,6.93,58.3,96.7,473.7,Severe
Mumbai,2015-11-02,474.1,482.7,15.1,86.1,158.4,10.9,7.88,44.0,107.0,475.2,Severe
Chennai,2015-11-02,233.7,361.5,55.9,41.5,208.5,1.9,6.6,41.6,120.1,387.5,Very Poor
Kolkata,2015-11-02,272.6,466.8,93.2,35.6,215.4,16.3,9.39,43.5,38.1,452.4,Severe
Bangalore,2015-11-02,144.5,324.7,17.8,8.5,7.9,48.7,5.05,36.7,137.5,319.0,Very Poor
Delhi,2015-11-03,110.4,133.7,59.1,29.3,83.7,11.8,5.89,61.6,19.8,267.2,Poor
Mumbai,2015-11-03,127.6,339.1,92.0,118.4,29.1,40.2,2.53,40.3,153.6,306.1,Very Poor
Chennai,2015-11-03,396.9,162.6,163.3,76.4,3.6,18.2,5.77,75.8,105.5,147.0,Moderate
Kolkata,2015-11-03,330.3,14.8,10.5,11.6,82.5,49.2,9.14,77.1,142.9,480.3,Severe
Bangalore,2015-11-03,127.2,302.0,18.2,33.1,37.9,31.6,1.35,70.9,126.1,305.8,Very Poor
Delhi,2015-11-04,387.3,270.2,195.7,114.2,213.7,2.4,4.89,63.2,7.0,220.2,Poor
Mumbai,2015-11-04,364.2,30.6,152.0,79.3,174.1,5.1,2.01,76.1,25.0,99.1,Satisfactory
Chennai,2015-11-04,275.4,189.6,54.4,125.2,105.9,25.0,9.98,64.8,134.1,425.4,Severe
Kolkata,2015-11-04,46.2,456.1,182.6,105.7,160.7,25.3,9.53,61.0,109.0,437.0,Severe
Bangalore,2015-11-04,299.9,533.1,157.7,135.0,222.8,31.3,5.83,3.2,124.3,449.9,Severe
Delhi,2015-11-05,235.1,31.5,63.3,88.1,194.3,44.6,9.77,0.1,117.8,388.6,Very Poor
Mumbai,2015-11-05,38.4,477.5,175.0,64.0,76.9,35.1,4.04,26.5,9.1,467.7,Severe
Chennai,2015-11-05,107.0,169.8,180.8,125.5,229.3,48.4,9.67,14.9,3.7,255.6,Poor
Kolkata,2015-11-05,150.0,567.9,9.0,32.9,43.6,46.6,9.16,55.4,11.6,323.3,Very Poor
Bangalore,2015-11-05,437.4,486.3,1.3,88.3,199.6,21.2,0.45,48.1,140.8,480.3,Severe
Delhi,2015-11-06,275.5,596.0,93.6,115.5,204.6,6.7,9.69,91.6,39.0,425.5,Severe
Mumbai,2015-11-06,23.5,245.5,66.5,58.0,111.6,2.8,8.55,64.3,22.6,197.0,Moderate
Chennai,2015-11-06,94.3,559.5,46.5,122.0,129.2,30.7,8.94,32.1,51.7,212.3,Poor
Kolkata,2015-11-06,186.4,528.7,15.9,142.7,73.7,41.1,9.65,3.4,168.6,351.2,Very Poor
Bangalore,2015-11-06,329.3,138.9,107.3,85.0,84.2,32.0,0.52,39.3,78.4,479.3,Severe
Delhi,2015-11-07,331.0,111.2,145.0,103.5,216.2,9.3,3.74,58.0,44.7,481.0,Severe
Mumbai,2015-11-07,62.9,554.0,102.2,123.5,211.6,10.7,3.47,81.7,156.6,183.2,Moderate
Chennai,2015-11-07,88.5,108.3,151.0,38.4,123.0,23.6,1.47,76.6,185.1,241.9,Poor
Kolkata,2015-11-07,305.8,263.6,192.3,34.1,133.0,4.0,2.61,87.2,32.9,455.8,Severe
Bangalore,2015-11-07,133.7,344.4,108.0,17.2,1.9,34.5,0.2,82.8,4.2,310.7,Very Poor
Delhi,2015-11-08,126.8,172.1,120.7,97.6,203.6,12.6,8.36,37.5,30.6,305.5,Very Poor
Mumbai,2015-11-08,39.1,296.0,188.7,5.1,157.1,40.3,7.49,94.9,77.3,246.0,Poor
Chennai,2015-11-08,108.3,420.6,46.8,73.0,14.0,13.8,5.78,44.4,100.6,388.2,Very Poor
Kolkata,2015-11-08,241.6,216.5,92.3,95.1,211.3,31.1,9.6,27.3,115.1,393.6,Very Poor
Bangalore,2015-11-08,404.6,197.8,181.8,74.8,93.2,34.5,0.32,53.3,105.2,165.3,Moderate
Delhi,2015-11-09,24.2,546.8,168.0,12.8,91.6,8.6,0.86,88.4,60.7,103.5,Moderate
Mumbai,2015-11-09,355.8,343.7,74.3,19.4,165.2,15.5,1.07,23.1,120.7,293.7,Poor
Chennai,2015-11-09,423.5,392.5,95.7,6.4,70.2,42.2,1.13,35.7,157.8,353.0,Very Poor
Kolkata,2015-11-09,103.9,412.6,27.7,5.7,132.8,11.2,1.85,78.6,67.7,378.2,Very Poor
Bangalore,2015-11-09,71.2,8.6,79.4,25.3,90.7,35.9,2.13,93.3,116.1,135.8,Moderate
Delhi,2015-11-10,348.1,96.7,27.5,69.9,44.3,20.9,9.62,79.7,138.8,498.1,Severe
Mumbai,2015-11-10,354.1,55.7,150.4,126.0,86.9,38.8,6.42,24.5,68.5,155.1,Moderate
Chennai,2015-11-10,106.8,129.1,121.6,61.9,139.0,19.9,1.77,98.2,37.5,254.9,Poor
Kolkata,2015-11-10,413.2,13.0,134.9,112.3,72.5,14.4,7.8,49.2,78.2,172.4,Moderate
Bangalore,2015-11-10,340.6,263.2,139.1,52.4,213.0,46.9,4.07,80.2,84.1,490.6,Severe
Delhi,2015-11-11,426.4,14.8,48.8,144.2,146.3,27.8,3.39,20.2,109.9,164.2,Moderate
Mumbai,2015-11-11,288.2,251.4,11.2,43.7,32.3,15.8,0.38,87.9,122.7,438.2,Severe
Chennai,2015-11-11,241.2,470.7,110.4,148.6,119.5,15.2,4.96,13.6,125.5,458.0,Severe
Kolkata,2015-11-11,432.5,16.5,69.8,23.6,180.9,25.1,2.26,7.2,191.1,257.1,Poor
Bangalore,2015-11-11,387.9,381.0,120.3,56.5,245.3,37.2,2.95,50.6,38.4,338.6,Very Poor
Delhi,2015-11-12,292.6,540.6,176.1,18.3,151.5,48.1,1.54,85.9,119.6,442.6,Severe
Mumbai,2015-11-12,461.9,159.4,145.9,9.2,176.2,22.8,2.34,80.4,117.7,139.8,Moderate
Chennai,2015-11-12,194.4,242.0,48.3,43.3,187.1,10.8,2.76,97.9,188.5,357.3,Very Poor
Kolkata,2015-11-12,59.4,110.6,187.4,115.9,199.8,9.7,2.33,6.1,177.6,222.8,Poor
Bangalore,2015-11-12,127.1,372.4,102.0,39.1,120.7,11.6,0.1,25.6,49.1,327.8,Very Poor
Delhi,2015-11-13,328.3,295.0,168.2,143.0,206.2,44.6,1.92,79.9,67.6,478.3,Severe
Mumbai,2015-11-13,59.8,35.6,119.9,118.9,1.1,46.0,7.17,63.2,188.3,250.0,Poor
Chennai,2015-11-13,318.7,540.5,164.3,74.5,88.2,38.6,0.58,3.6,131.8,468.7,Severe
Kolkata,2015-11-13,442.8,310.9,9.7,35.1,123.4,38.2,3.83,62.4,42.8,260.9,Poor
Bangalore,2015-11-13,0.5,293.3,190.4,75.8,182.5,45.6,7.07,51.8,59.4,243.3,Poor
Delhi,2015-11-14,318.1,558.1,194.3,143.7,114.7,10.0,8.82,30.5,41.1,468.1,Severe
Mumbai,2015-11-14,19.3,101.9,197.3,148.4,236.7,43.7,9.5,83.4,79.8,193.7,Moderate
Chennai,2015-11-14,302.7,305.6,63.1,23.0,183.5,12.5,3.47,73.0,37.7,452.7,Severe
Kolkata,2015-11-14,425.3,234.4,113.5,86.2,119.7,44.9,4.11,6.0,118.0,189.6,Moderate
Bangalore,2015-11-14,101.3,383.4,177.3,60.1,91.3,32.1,1.18,45.7,105.5,341.6,Very Poor
Delhi,2015-11-15,464.9,264.9,99.0,81.6,126.4,0.2,1.69,42.1,162.7,214.9,Poor
Mumbai,2015-11-15,79.0,548.8,117.3,6.0,48.6,29.1,2.91,23.9,185.0,241.6,Poor
Chennai,2015-11-15,264.6,545.4,60.9,38.5,193.2,47.3,6.58,68.5,118.3,414.6,Severe
Kolkata,2015-11-15,493.6,515.2,41.9,71.5,101.9,13.4,6.36,84.9,63.6,154.4,Moderate
Bangalore,2015-11-15,335.8,147.0,1.0,120.7,57.3,12.1,2.86,15.4,148.2,485.8,Severe
Delhi,2015-11-16,284.3,423.1,29.5,140.7,248.7,2.2,0.79,23.3,160.4,434.3,Severe
Mumbai,2015-11-16,369.4,29.4,60.2,125.5,204.3,2.5,6.57,43.3,23.7,157.0,Moderate
Chennai,2015-11-16,168.2,527.8,127.6,48.2,4.0,0.3,2.12,57.8,95.6,337.2,Very Poor
Kolkata,2015-11-16,311.8,595.9,114.1,112.1,167.2,33.4,4.3,18.6,47.3,461.8,Severe
Bangalore,2015-11-16,387.6,32.6,188.0,95.5,152.2,8.1,3.94,99.4,169.3,201.8,Poor
Delhi,2015-11-17,365.8,59.1,133.4,40.1,157.1,16.9,6.84,49.9,4.8,160.4,Moderate
Mumbai,2015-11-17,395.4,592.5,89.9,113.1,3.4,15.6,4.19,79.0,152.7,177.4,Moderate
Chennai,2015-11-17,51.9,351.4,96.7,29.6,188.3,11.1,1.1,96.8,58.9,301.5,Very Poor
Kolkata,2015-11-17,49.5,87.9,90.4,72.4,141.0,21.5,1.04,41.7,17.3,90.5,Satisfactory
Bangalore,2015-11-17,98.3,158.8,88.4,13.8,191.4,8.1,7.27,96.9,42.5,225.9,Poor
Delhi,2015-11-18,409.8,182.2,70.6,23.8,8.2,5.5,0.35,40.8,124.8,155.0,Moderate
Mumbai,2015-11-18,182.9,7.6,50.0,58.9,229.0,15.8,7.51,53.7,126.1,348.5,Very Poor
Chennai,2015-11-18,317.3,513.6,7.5,68.4,5.8,16.3,9.58,21.3,50.1,467.3,Severe
Kolkata,2015-11-18,33.5,570.0,54.1,27.7,30.6,33.6,2.16,50.9,77.7,101.8,Moderate
Bangalore,2015-11-18,185.3,357.5,57.1,20.1,110.9,34.9,2.55,23.3,5.6,350.3,Very Poor
Delhi,2015-11-19,133.7,563.7,133.1,121.5,48.5,34.4,7.61,46.4,142.6,310.7,Very Poor
Mumbai,2015-11-19,73.6,32.5,69.1,107.5,70.7,6.4,8.79,55.6,135.0,184.8,Moderate
Chennai,2015-11-19,209.9,503.2,84.2,48.5,151.6,17.9,6.39,79.1,56.7,369.2,Very Poor
Kolkata,2015-11-19,432.8,71.5,85.8,122.0,234.7,34.8,5.3,99.7,21.5,142.0,Moderate
Bangalore,2015-11-19,382.0,404.8,2.0,8.0,206.1,41.5,5.85,44.9,187.7,368.4,Very Poor
Delhi,2015-11-20,75.8,350.8,123.0,23.6,223.5,36.6,0.39,46.0,116.4,151.5,Moderate
Mumbai,2015-11-20,68.6,248.7,56.2,146.3,98.4,18.3,0.7,46.5,185.9,243.9,Poor
Chennai,2015-11-20,329.5,575.2,134.2,33.9,125.2,13.3,9.55,16.1,1.8,479.5,Severe
Kolkata,2015-11-20,282.1,299.2,62.3,68.7,108.3,0.3,6.02,23.6,2.8,432.1,Severe
Bangalore,2015-11-20,136.4,488.1,140.5,113.2,188.9,30.0,0.13,57.5,167.2,482.9,Severe
Delhi,2015-11-21,112.3,110.5,126.5,0.8,38.9,2.4,9.28,58.9,191.2,273.7,Poor
Mumbai,2015-11-21,306.3,61.1,21.1,84.2,79.4,9.3,6.98,42.6,106.5,456.3,Severe
Chennai,2015-11-21,224.9,560.3,196.6,63.4,57.0,44.3,6.1,11.5,84.1,380.7,Very Poor
Kolkata,2015-11-21,97.7,330.1,6.9,32.9,155.9,23.2,4.28,18.7,24.3,280.1,Poor
Bangalore,2015-11-21,2.5,219.6,58.9,81.0,229.0,48.6,1.33,79.6,111.3,179.8,Moderate
Delhi,2015-11-22,123.3,53.2,11.8,90.3,122.9,24.3,5.16,81.7,94.6,302.8,Very Poor
Mumbai,2015-11-22,386.3,141.8,111.9,10.6,233.1,43.6,4.17,81.6,16.5,128.1,Moderate
Chennai,2015-11-22,215.3,543.5,103.6,75.7,247.8,36.6,1.36,35.4,62.9,373.4,Very Poor
Kolkata,2015-11-22,375.8,438.0,22.0,46.2,13.0,41.4,5.45,94.7,60.9,411.0,Severe
Bangalore,2015-11-22,111.1,501.0,80.6,12.6,207.5,6.9,3.14,41.6,147.9,269.6,Poor
Delhi,2015-11-23,133.7,532.2,89.4,43.1,143.7,25.7,5.9,52.1,118.6,310.7,Very Poor
Mumbai,2015-11-23,479.4,111.3,133.0,61.4,58.8,46.1,6.16,57.3,111.1,151.9,Moderate
Chennai,2015-11-23,312.6,58.9,66.1,111.5,116.7,27.9,8.37,54.1,42.2,462.6,Severe
Kolkata,2015-11-23,189.5,385.2,55.3,75.9,142.2,4.1,3.61,37.2,80.9,353.6,Very Poor
Bangalore,2015-11-23,17.9,335.0,124.6,46.3,29.2,0.2,1.68,38.6,173.0,285.0,Poor
Delhi,2015-11-24,341.0,282.3,43.4,18.2,151.2,26.3,9.08,86.4,134.7,491.0,Severe
Mumbai,2015-11-24,162.5,435.6,65.9,128.4,93.6,24.5,9.94,52.1,154.7,407.6,Severe
Chennai,2015-11-24,251.0,80.8,152.0,32.7,233.9,17.3,5.7,19.2,54.8,401.0,Severe
Kolkata,2015-11-24,120.4,65.4,44.3,120.1,122.7,16.5,4.52,68.6,185.0,241.6,Poor
Bangalore,2015-11-24,397.8,523.7,29.1,122.9,82.7,19.5,6.86,67.7,191.9,259.1,Poor
Delhi,2015-11-25,407.0,563.2,117.9,125.3,32.6,43.1,9.97,44.4,134.4,199.6,Moderate
Mumbai,2015-11-25,17.7,115.2,0.9,69.7,12.6,15.0,4.84,64.7,36.5,135.3,Moderate
Chennai,2015-11-25,50.1,55.3,167.0,146.2,116.8,13.4,0.27,86.6,140.7,166.2,Moderate
Kolkata,2015-11-25,170.2,401.0,161.6,25.4,186.3,37.1,5.93,14.1,93.8,363.7,Very Poor
Bangalore,2015-11-25,157.3,301.9,115.3,99.4,169.5,42.5,6.39,27.7,98.6,328.9,Very Poor
Delhi,2015-11-26,42.1,596.7,76.9,8.9,42.2,4.5,1.2,62.8,83.5,83.5,Satisfactory
Mumbai,2015-11-26,376.0,553.3,119.8,104.0,57.6,6.2,2.84,98.5,94.9,124.0,Moderate
Chennai,2015-11-26,256.9,329.2,51.8,147.0,50.7,47.9,3.37,73.9,93.2,406.9,Severe
Kolkata,2015-11-26,422.2,593.3,90.0,89.1,68.5,8.2,8.02,11.6,177.2,221.8,Poor
Bangalore,2015-11-26,243.4,149.4,15.4,127.5,218.1,20.7,6.83,14.3,161.6,394.9,Very Poor
Delhi,2015-11-27,196.1,126.5,188.4,26.8,193.4,18.4,2.12,1.0,186.7,358.6,Very Poor
Mumbai,2015-11-27,390.9,13.3,20.4,35.9,133.8,27.1,3.5,33.6,89.9,118.5,Moderate
Chennai,2015-11-27,394.3,326.2,6.1,75.4,75.4,33.9,1.64,36.0,171.4,276.2,Poor
Kolkata,2015-11-27,244.1,245.5,187.0,2.9,76.6,24.9,2.32,23.6,92.0,395.5,Very Poor
Bangalore,2015-11-27,359.4,112.1,194.9,11.4,140.8,17.7,4.91,67.7,151.3,175.3,Moderate
Delhi,2015-11-28,195.1,220.4,7.0,142.1,87.0,40.4,4.54,13.4,123.7,357.9,Very Poor
Mumbai,2015-11-28,226.7,67.0,158.8,18.3,161.3,45.3,4.52,69.9,78.8,382.1,Very Poor
Chennai,2015-11-28,52.2,75.2,29.8,121.1,213.1,18.4,7.31,47.1,3.8,166.3,Moderate
Kolkata,2015-11-28,43.3,468.4,29.4,116.4,106.8,41.8,4.32,15.7,82.4,454.7,Severe
Bangalore,2015-11-28,496.2,368.1,130.1,93.7,117.8,42.7,8.23,54.1,139.6,322.4,Very Poor
Delhi,2015-11-29,254.6,22.5,107.6,36.4,73.7,14.9,4.8,60.5,56.8,404.6,Severe
Mumbai,2015-11-29,455.4,253.5,95.5,94.2,246.2,12.3,9.94,55.5,99.8,203.5,Poor
Chennai,2015-11-29,150.6,1.7,81.2,130.2,224.5,10.8,9.53,20.5,114.8,323.7,Very Poor
Kolkata,2015-11-29,66.5,523.8,142.5,128.9,130.4,15.0,0.04,21.9,178.3,224.6,Poor
Bangalore,2015-11-29,174.3,561.1,91.2,147.1,112.4,4.6,4.29,12.8,5.0,341.9,Very Poor
Delhi,2015-11-30,196.6,305.7,139.8,103.5,52.9,44.9,3.21,94.6,111.9,359.0,Very Poor
Mumbai,2015-11-30,405.9,258.1,141.8,63.0,223.2,40.6,7.37,26.7,159.2,208.1,Poor
Chennai,2015-11-30,484.1,168.2,104.3,111.0,74.0,6.1,4.69,17.2,155.4,181.4,Moderate
Kolkata,2015-11-30,25.3,149.3,65.4,40.9,90.2,14.1,5.69,69.4,88.9,146.0,Moderate
Bangalore,2015-11-30,187.4,409.7,18.4,107.4,241.4,17.8,4.43,47.1,1.8,374.6,Very Poor
Delhi,2015-12-01,197.6,260.4,177.0,52.3,135.9,5.3,7.89,1.1,12.9,359.8,Very Poor
Mumbai,2015-12-01,235.5,203.3,87.3,129.3,194.2,39.5,2.81,83.7,49.3,388.9,Very Poor
Chennai,2015-12-01,340.1,257.6,198.7,53.5,42.2,5.2,9.9,58.2,27.8,490.1,Severe
Kolkata,2015-12-01,127.7,409.8,98.0,40.6,4.9,16.2,1.8,97.4,75.2,374.7,Very Poor
Bangalore,2015-12-01,378.9,530.9,58.0,23.5,6.2,28.6,2.51,25.9,54.0,106.1,Moderate
Delhi,2015-12-02,370.9,3.5,49.5,11.6,228.4,8.6,5.93,44.5,122.4,149.0,Moderate
Mumbai,2015-12-02,305.2,595.3,192.2,69.9,81.2,7.8,2.8,84.1,3.5,455.2,Severe
Chennai,2015-12-02,19.5,498.1,145.9,130.6,85.0,3.7,0.54,37.6,196.1,497.3,Severe
Kolkata,2015-12-02,312.2,144.3,33.3,68.1,89.4,12.9,1.28,70.9,136.4,462.2,Severe
Bangalore,2015-12-02,99.4,220.1,10.9,106.8,148.5,1.9,8.86,9.3,2.8,229.7,Poor
Delhi,2015-12-03,394.8,555.9,50.0,5.3,229.3,18.7,9.27,76.9,17.5,190.9,Moderate
Mumbai,2015-12-03,53.9,264.6,33.3,143.8,43.5,9.4,5.38,54.9,132.1,214.6,Poor
Chennai,2015-12-03,111.7,487.4,62.0,52.1,59.7,47.4,9.84,33.5,110.9,481.9,Severe
Kolkata,2015-12-03,128.6,292.4,29.4,99.7,31.5,23.6,7.58,39.4,39.0,306.8,Very Poor
Bangalore,2015-12-03,482.4,483.0,141.5,120.4,98.5,14.2,5.95,21.1,14.8,475.6,Severe
Delhi,2015-12-04,438.5,13.9,115.5,96.9,37.1,17.7,4.55,24.2,121.0,131.7,Moderate
Mumbai,2015-12-04,351.0,389.3,97.3,88.0,135.2,20.3,7.75,66.7,1.9,349.0,Very Poor
Chennai,2015-12-04,73.8,459.6,107.3,54.6,15.7,32.5,5.62,71.4,164.5,442.0,Severe
Kolkata,2015-12-04,115.4,458.2,186.1,73.5,195.3,38.9,0.49,5.8,12.9,440.0,Severe
Bangalore,2015-12-04,493.4,490.9,51.3,85.1,144.9,23.2,6.35,65.7,149.6,486.9,Severe
Delhi,2015-12-05,411.3,396.3,97.2,80.6,140.4,6.3,4.48,11.5,132.3,357.8,Very Poor
Mumbai,2015-12-05,22.2,225.6,155.6,86.6,227.9,46.6,8.15,76.9,199.5,278.4,Poor
Chennai,2015-12-05,334.8,291.9,194.3,67.2,94.3,18.1,4.51,40.4,97.6,484.8,Severe
Kolkata,2015-12-05,59.2,546.2,127.1,126.5,39.1,0.6,6.74,58.9,141.9,161.4,Moderate
Bangalore,2015-12-05,12.6,441.1,15.6,26.9,165.6,14.1,5.09,90.6,155.2,415.5,Severe
Delhi,2015-12-06,241.4,22.2,102.0,112.9,74.6,4.3,7.13,13.8,62.7,393.4,Very Poor
Mumbai,2015-12-06,89.7,127.4,60.1,139.4,165.5,1.0,5.15,10.1,28.1,199.0,Moderate
Chennai,2015-12-06,113.6,247.0,99.7,61.6,187.1,9.2,7.02,63.1,194.0,278.2,Poor
Kolkata,2015-12-06,367.7,107.1,88.2,79.7,16.7,1.5,5.29,88.4,69.4,141.0,Moderate
Bangalore,2015-12-06,491.0,435.5,98.8,75.6,227.2,5.9,4.54,51.6,155.1,407.5,Severe
Delhi,2015-12-07,11.1,297.6,143.5,85.6,246.0,49.8,6.48,46.1,124.6,247.6,Poor
Mumbai,2015-12-07,246.6,90.0,46.7,130.8,164.4,23.2,0.39,62.4,160.3,397.4,Very Poor
Chennai,2015-12-07,109.5,349.8,41.1,50.2,203.0,12.8,8.95,82.8,103.6,299.8,Poor
Kolkata,2015-12-07,393.8,44.2,50.5,77.7,117.3,14.7,6.87,18.1,105.8,160.8,Moderate
Bangalore,2015-12-07,389.6,559.6,163.7,138.4,207.1,32.2,7.35,77.8,156.3,182.7,Moderate
Delhi,2015-12-08,363.8,331.2,4.8,105.2,194.2,4.7,4.89,48.4,55.3,281.2,Poor
Mumbai,2015-12-08,418.1,252.1,199.2,43.5,98.1,48.9,7.65,12.3,134.4,202.1,Poor
Chennai,2015-12-08,203.2,31.4,104.9,12.6,130.1,31.6,6.65,76.5,127.8,364.1,Very Poor
Kolkata,2015-12-08,371.6,347.6,139.8,69.0,103.3,34.5,6.01,62.8,67.4,297.6,Poor
Bangalore,2015-12-08,484.5,10.2,76.4,84.2,135.2,43.3,2.63,8.2,127.7,140.5,Moderate
Delhi,2015-12-09,404.3,22.6,178.8,89.9,27.5,33.4,4.57,12.4,175.1,216.5,Poor
Mumbai,2015-12-09,236.0,158.2,143.4,6.6,194.2,2.1,5.21,79.1,8.0,389.3,Very Poor
Chennai,2015-12-09,263.5,535.3,30.6,23.5,153.1,10.5,3.44,9.1,34.0,413.5,Severe
Kolkata,2015-12-09,360.5,38.6,168.4,57.6,49.1,10.8,2.96,47.6,53.5,111.8,Moderate
Bangalore,2015-12-09,451.5,392.6,149.6,12.1,162.7,16.6,5.0,41.1,31.7,353.1,Very Poor
Delhi,2015-12-10,50.3,539.3,192.8,91.1,18.5,0.8,6.58,47.6,40.2,157.1,Moderate
Mumbai,2015-12-10,299.2,451.7,1.3,109.1,54.5,18.5,9.78,18.3,95.1,449.2,Severe
Chennai,2015-12-10,51.4,477.9,117.7,135.9,123.7,19.2,4.98,75.6,117.9,468.3,Severe
Kolkata,2015-12-10,51.1,391.4,100.9,20.8,114.8,1.9,9.12,47.0,20.6,351.6,Very Poor
Bangalore,2015-12-10,328.0,437.2,180.8,127.6,34.9,32.2,6.46,86.8,180.1,478.0,Severe
Delhi,2015-12-11,163.1,573.4,123.6,113.6,63.3,15.2,5.3,67.7,74.3,333.3,Very Poor
Mumbai,2015-12-11,231.3,165.8,136.4,37.6,212.2,46.9,3.08,24.7,86.4,385.6,Very Poor
Chennai,2015-12-11,280.0,363.8,99.9,123.0,57.7,43.4,3.68,72.4,67.8,430.0,Severe
Kolkata,2015-12-11,411.4,125.4,146.4,130.5,204.1,29.4,8.43,88.5,132.6,180.3,Moderate
Bangalore,2015-12-11,418.1,245.6,77.6,35.1,245.4,2.6,0.58,14.9,7.3,197.1,Moderate
Delhi,2015-12-12,393.4,145.0,152.4,70.0,9.0,28.1,7.48,79.4,33.7,168.4,Moderate
Mumbai,2015-12-12,187.8,237.6,192.3,46.6,26.2,47.3,8.84,49.7,150.4,352.3,Very Poor
Chennai,2015-12-12,302.6,312.6,63.5,84.5,209.8,8.7,0.33,21.2,148.2,452.6,Severe
Kolkata,2015-12-12,33.6,500.0,155.1,123.3,41.8,41.4,9.75,60.5,70.7,500.0,Severe
Bangalore,2015-12-12,122.8,440.6,54.8,21.6,212.1,31.8,4.15,35.4,168.4,414.8,Severe
Delhi,2015-12-13,455.1,381.2,110.2,109.1,28.9,45.5,5.65,13.6,8.8,338.8,Very Poor
Mumbai,2015-12-13,14.2,87.1,55.0,149.5,166.2,30.6,2.38,49.8,118.1,169.5,Moderate
Chennai,2015-12-13,360.7,436.5,176.1,51.4,117.9,37.9,7.05,23.5,166.9,408.9,Severe
Kolkata,2015-12-13,416.8,324.0,98.4,69.2,156.6,4.9,7.23,78.9,195.1,274.0,Poor
Bangalore,2015-12-13,236.1,475.9,67.8,132.2,229.7,49.6,5.42,62.3,58.0,465.4,Severe
Delhi,2015-12-14,264.9,15.5,136.3,130.5,167.4,8.3,5.13,69.7,146.8,414.9,Severe
Mumbai,2015-12-14,476.3,255.9,64.3,45.5,161.3,12.9,2.31,31.6,86.2,205.9,Poor
Chennai,2015-12-14,460.3,22.2,168.9,15.4,161.2,8.5,8.57,84.3,39.7,182.1,Moderate
Kolkata,2015-12-14,194.3,271.9,17.2,148.9,111.0,32.9,4.14,4.2,163.3,357.3,Very Poor
Bangalore,2015-12-14,407.2,195.6,14.6,130.3,181.3,32.8,3.47,98.4,197.2,272.6,Poor
Delhi,2015-12-15,216.9,514.4,191.7,61.9,194.4,42.2,9.78,64.1,144.6,374.6,Very Poor
Mumbai,2015-12-15,448.1,271.9,0.6,4.6,49.7,20.8,7.48,50.7,87.8,221.9,Poor
Chennai,2015-12-15,405.4,469.7,66.5,117.2,221.5,0.6,9.16,28.4,200.0,456.5,Severe
Kolkata,2015-12-15,91.3,200.5,185.5,45.9,83.6,28.3,5.7,9.6,97.6,202.0,Poor
Bangalore,2015-12-15,393.6,50.2,50.3,43.7,69.9,31.1,7.13,75.1,117.4,164.0,Moderate
Delhi,2015-12-16,135.8,374.0,143.6,102.1,202.3,16.5,8.64,90.9,40.4,329.8,Very Poor
Mumbai,2015-12-16,384.1,509.8,51.9,69.5,108.5,5.8,2.56,65.9,154.3,179.8,Moderate
Chennai,2015-12-16,68.9,497.7,48.7,106.1,234.3,13.9,3.86,58.4,33.6,496.7,Severe
Kolkata,2015-12-16,67.8,469.3,9.9,121.1,217.3,9.0,5.2,58.2,86.8,456.0,Severe
Bangalore,2015-12-16,11.7,354.4,41.7,8.0,236.2,33.5,0.27,5.8,43.3,305.3,Very Poor
Delhi,2015-12-17,246.6,0.7,60.7,30.4,109.9,47.3,7.54,81.0,185.1,397.4,Very Poor
Mumbai,2015-12-17,34.7,149.8,21.4,146.3,153.4,10.3,3.23,99.8,172.0,208.6,Poor
Chennai,2015-12-17,219.3,22.2,134.6,99.2,177.7,8.8,8.28,66.5,41.8,376.4,Very Poor
Kolkata,2015-12-17,271.7,481.1,128.3,97.9,246.1,13.1,5.79,70.8,106.5,472.9,Severe
